1	1	2
2	2	3
3	3	7
4	4	17
5	5	50
6	6	125
7	7	250
8	8	500
9	9	987
10	10	1604
11	11	2493
12	12	3734
13	13	5422
14	14	7669
15	15	10605
16	16	14383
17	17	19178
18	18	25191
19	19	32653
20	20	41828
21	21	53016
22	22	66556
23	23	82834
24	24	102282
25	25	125390
26	26	152706
27	27	184846
28	28	222499
29	29	266435
30	30	317513
31	31	376689
32	32	445031
33	33	523719
34	34	614069
35	35	717537
36	36	835735
37	37	970446
38	38	1123644
39	39	1297505
40	40	1494430
41	41	1717066
42	42	1968329
43	43	2251428
44	44	2569889
45	45	2927590
46	46	3328788
47	47	3778155
48	48	4280815
49	49	4842382
50	50	5469008
51	51	6167428
52	52	6945010
53	53	7809811
54	54	8770641
55	55	9837120
56	56	11019758
57	57	12330022
58	58	13780426
59	59	15384615
60	60	18873209
61	61	22938213
62	62	29785576
63	63	37851819
64	64	47307639
65	65	58344152
66	66	77645529
67	67	93209006
68	68	119079807
69	69	149311139
70	70	184487925
71	71	225262774
72	72	284204889
73	73	339662372
74	74	403272284
75	75	476045862
76	76	594049618
77	77	740214605
78	78	888062792
79	79	1045817451
80	80	1212674905
81	81	1220447543
82	82	1229448257
83	83	1239871084
84	84	1251940718
85	85	1265917353
86	86	1282102297
87	87	1300844461
88	88	1322547887
89	89	1347680454
90	90	1376783967
91	91	1410485834
92	92	1449512595
93	93	1494705585
94	94	1547039066
95	95	1607641238
96	96	1677818552
97	97	1759083882
98	98	1853189134
99	99	1962163016
100	100	2088354770
