//ID	Название моба	Портрет	Тип модели	Тип логической модели	Номер структуры	Suite Serial	Suite Quantity	Вид головы	Вид лица	Вид тела	Вид рук	Вид ног	Вид оружия в левой руке	Вид оружия в правой руке	Крылья	ID эффекта	EeffID	Номера действующих эффектов	Тень (0-нет,1-да)	ID действий	Прозрачность (100-непрозрачный,0-невидимый)	Звук ходьбы	Звук дыхания	Звук смерти	Можно ли контролировать (0-нет,1-да)	Ограничение в районе	Уровень расположения над землей	Одетые шмотки	Длина	Ширина	Высота	Дапозон противоречия	Возраждение	Смерть	Эффект возраждения	Эффект смерти	Действие во время бездействия	Мгновеное действие во время смерти	Эффект отображения оставшегося ХП	Атака может быть отклонена(0-нет,1-да)	Подтверждение использования ветра(0-нет,1-да)	Сценарий	Использует оружие(0-нет,1-да)	ID Навыков	Шанс использования навыков	Дроп лист	Шанс выпадения предмета	Предельное кол-во	Шанс неудачи	Приставка уровня	Дроп лист квестовых вещей	Шанс выпадения	ИИ	Поворот	Радиус обзора	Шум	Получение опыта	Свет	mobexp	Лвл	Макс.ХП	ХП	Макс.МН	МН	Мин. атк	Макс. атк	ПР	Защита	Шанс попадания	Шанс уклонения	Шанс критического удара	Шанс выпадения	Реген ХП	Реген МН	Скорость атк	Диапозон атаки	Радиус преследования	Скорость бега	Шанс выпадения ресурсов	Сила	Ловкость	Точность	Телосложение	Дух	Удача	left_rad	Гильдия	Титл	Профессия	Опыт	Необходимое кол-во опыта для следующего уровня	репутация	Очки статов	Очки навыков	Деньги	Вид камеры	stor	mxsail	sail	stasa	scsm	tstr	tagi	tdex	tcon	tsta	tluk	tmxhp	tmxsp	tatk	tdef	thit	tflee	tmf	tcrt	threc	tsrec	taspd	tadis	tspd	tspri	tscsm	tsfar1	
1	Парень с длинными волосами	Парень с длинными волосами	1	1	0	0	100	2000	255	464	640	816	0	0	0	0	0	0	1	1	100	182	-1	-1	0	0	0	1,2,3,4,7,8	1.051	1.369	2.599	40	1,5	0	399	398	0	0	0	1	1	0	0	25,28,29,30,31,34,35,38	100	0	0	0	0	0	0	0	1	1	1400	0	0	1	0	1	52	0	18	0	9	12	0	3	2	1	1	0	1	1	1586	0	1500	480	0	5	5	5	5	5	5	20	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0,1.0,1.0	
2	Силач	Силач	1	1	1	0	100	2062	255	464	640	816	0	0	0	0	0	0	1	2	100	182	-1	-1	0	0	0	1,2,5,6,8,10	1.061	1.815	2.785	40	1,5	0	399	398	0	0	0	1	1	0	0	25,28,29,32,33,35,37,38	100	0	0	0	0	0	0	0	1	1	1400	0	0	1	0	1	62	0	18	0	12	12	0	4	2	1	1	0	1	1	1586	0	1500	480	0	5	5	5	5	5	5	20	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0,1.0,1.0	
3	Героиня	Героиня	1	1	2	0	100	2124	255	464	640	816	0	0	0	0	0	0	1	3	100	182	-1	-1	0	0	0	3,4,5,8,9	0.5	1.423	2.245	40	1,5	0	399	398	0	0	0	1	1	0	0	25,28,29,30,31,32,33,34,35,36,38	100	0	0	0	0	0	0	0	1	1	1400	0	0	1	0	1	62	0	18	0	12	12	0	4	2	1	1	0	1	1	1586	0	1500	480	0	5	5	5	5	5	5	20	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0,1.0,1.0	
4	Дама 2	Дама 2	1	1	3	0	100	2246	255	464	640	816	0	0	0	0	0	0	1	4	100	182	-1	-1	0	0	0	7,8,9,10	0.797	1.392	1.709	40	1,5	0	399	398	0	0	0	1	1	0	0	25,28,29,34,35,36,37	100	0	0	0	0	0	0	0	1	1	1400	0	0	1	0	1	62	0	18	0	12	12	0	4	2	1	1	0	1	1	1586	0	1500	480	0	5	5	5	5	5	5	20	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0,1.0,1.0	
5	Воин	Воин	4	2	5	0	1	1	0	0	0	0	0	0	0	0	0	0	1	5	100	-1	-1	-1	0	0	0	0	1.227	2.036	2.948	40	1,5	2,5	399	398	0	0	0	1	1	0	0	25	100	0	0	0	0	0	0	0	1	1	1400	0	0	1	0	300	6708	0	842	0	336	349	10	130	107	103	5	0	9	3	1339	0	1500	0	0	155	155	155	155	155	155	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0,1.0,1.0	
10	Ремесленик	Ремесленик	4	2	10	0	1	1	0	0	0	0	0	0	0	0	0	0	1	10	100	-1	-1	-1	0	0	0	0	1.034	1.104	2.447	40	1,5	2,5	399	398	0	0	0	1	1	0	0	25	100	0	0	0	0	0	0	0	1	1	1400	0	0	1	0	300	8229	0	842	0	336	349	10	130	107	103	5	0	9	3	1339	0	1500	0	0	155	155	155	155	155	155	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0,1.0,1.0	
11	Эзотерический купец	Эзотерический ку	4	2	11	0	1	1	0	0	0	0	0	0	0	0	0	0	1	11	100	-1	-1	-1	0	0	0	0	0.644	1.052	2.063	40	1,5	2,5	399	398	0	0	0	1	1	0	0	25	100	0	0	0	0	0	0	0	1	1	1400	0	0	1	0	300	8229	0	842	0	336	349	10	130	107	103	5	0	9	3	1339	0	1500	0	0	155	155	155	155	155	155	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0,1.0,1.0	
12	Замковый страж	Замковый страж	4	2	85	0	1	1	0	0	0	0	0	0	0	0	0	0	1	12	100	-1	-1	-1	0	0	0	0	0.859	1.351	2.829	40	1,5	2,5	399	398	0	0	0	1	1	0	0	25	100	0	0	0	0	0	0	0	1	1	1400	0	0	1	0	300	8229	0	842	0	336	349	10	130	107	103	5	0	9	3	1339	550	1500	400	0	155	155	155	155	155	155	20	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0,1.0,1.0	
13	Владелец магазина	Владелец магазин	4	2	86	0	1	1	0	0	0	0	0	0	0	0	0	0	1	13	100	-1	-1	-1	0	0	0	0	1.108	1.667	2.592	40	1,5	2,5	399	398	0	0	0	1	1	0	0	25	100	0	0	0	0	0	0	0	1	1	1400	0	0	1	0	300	8229	0	842	0	336	349	10	130	107	103	5	0	9	3	1339	550	1500	0	0	155	155	155	155	155	155	20	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0,1.0,1.0	
14	Министр	Министр	4	2	87	0	1	1	0	0	0	0	0	0	0	0	0	0	1	14	100	-1	-1	-1	0	0	0	0	0.95	1.153	2.665	40	1,5	2,5	399	398	0	0	0	1	1	0	0	25	100	0	0	0	0	0	0	0	1	1	1400	0	0	1	0	300	8229	0	842	0	336	349	10	130	107	103	5	0	9	3	1339	550	1500	0	0	155	155	155	155	155	155	20	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0,1.0,1.0	
